연도,기준,민간_경상보조(억원),민간_자본보조(억원),지자체_경상보조(억원),지자체_자본보조(억원)
2015,결산,16757,15857,22635,35950
2016,결산,17388,9736,22846,38112
2017,결산,15898,11177,22666,33458
2018,결산,16533,13525,22711,34050
2019,결산,16949,11072,24243,38506
2020,본예산,20201,11276,37149,30738
2021,본예산,22298,12035,38060,34533
