연도,기준,농어촌구조개선특별회계(억원),양곡관리특별회계(억원),국가균형발전특별회계(억원),에너지 및 자원사업특별회계(억원),책임운영기관특별회계(억원),혁신도시건설특별회계(억원)
2015,결산,69382,14437,21455,846,443,5395
2016,결산,63751,14143,24495,695,449,80
2017,결산,65331,13866,21070,643,544,0
2018,결산,71453,16582,20989,617,544,0
2019,결산,73082,20669,22859,1186,609,0
2020,본예산,66292,20065,10555,2459,748,0
2021,본예산,72616,19573,11459,2807,650,0
