연도,기준,공익기능증진직불(억원),정부양곡매입비(억원),맞춤형농지지원(억원),산지유통종합자금(억원),수리시설개보수(억원),일반농산어촌개발(억원),비축지원(억원),어촌뉴딜 300(억원),농업재해보험(억원),수입양곡대(억원)
2020,본예산,23610,11045,6460,6297,5381,5239,5268,4344,4794,4325
2021,본예산,23610,11271,7718,6434,6365,6134,5303,5219,4755,4408
