연도,기준,어촌어항활성화(억원),수산자원 관리 및 조성(억원),어업인소득안정지원(억원),수산물 유통 및 안전관리(억원),수산식품고부가가치화(억원)
2015,결산,4277,3101,0,2112,0
2016,결산,4965,3553,0,952,0
2017,결산,4907,4074,0,269,0
2018,결산,4900,4861,0,566,0
2019,결산,6832,4215,3803,3368,1932
2020,본예산,7563,4241,4236,3439,1934
2021,본예산,8573,5250,4394,3706,1873
