연도,"인건비_
현액(억원)","인건비_
집행액(억원)","물건비_
현액(억원)","물건비_
집행액(억원)","이전지출_
보전금_
현액(억원)","이전지출_
보전금_
집행액(억원)","이전지출_
민간이전_
현액(억원)","이전지출_
민간이전_
집행액(억원)","이전지출_
자치단체_
이전
현액(억원)","이전지출_
자치단체_
이전
집행액(억원)","이전지출_
해외이전_
현액(억원)","이전지출_
해외이전_
집행액(억원)","이전지출_
일반출연금_
현액(억원)","이전지출_
일반출연금_
집행액(억원)","이전지출_
연구개발_
출연
현액(억원)","이전지출_
연구개발_
출연
집행액(억원)","상환지출_
현액(억원)","상환지출_
집행액(억원)","자산취득_
현액(억원)","자산취득_
집행액(억원)","예비비 및 기타_
현액(억원)","예비비 및 기타_
집행액(억원)"
2014 ,298799 ,294916 ,231583 ,219111 ,149814 ,148300 ,602137 ,568204 ,1212027 ,1171572 ,14230 ,13446 ,314827 ,308274 ,0 ,0 ,161240 ,156057 ,655272 ,592511 ,18294 ,5065 
2015 ,316864 ,307191 ,261065 ,231930 ,166738 ,164378 ,669628 ,628278 ,1240876 ,1218105 ,13858 ,12962 ,340200 ,338292 ,0 ,0 ,167664 ,152238 ,732222 ,659672 ,21002 ,4955 
2016 ,331673 ,323712 ,248915 ,233617 ,174084 ,172648 ,701834 ,657954 ,1298810 ,1285298 ,14909 ,13782 ,171276 ,168411 ,174556 ,173456 ,168325 ,149250 ,724951 ,657436 ,30715 ,10894 
2017 ,356475 ,350949 ,242896 ,230570 ,170725 ,168313 ,743184 ,710783 ,1397802 ,1389108 ,15485 ,13238 ,168160 ,166175 ,179221 ,178477 ,161641 ,148470 ,714176 ,657300 ,28927 ,11817 
2018 ,382781 ,374561 ,244217 ,232159 ,183388 ,174807 ,840913 ,809767 ,1510904 ,1500193 ,16585 ,14419 ,153096 ,152233 ,182643 ,181453 ,163254 ,150920 ,721035 ,671605 ,22986 ,13259 
2019 ,400043 ,389576 ,253645 ,241817 ,188156 ,182213 ,932983 ,910255 ,1742820 ,1730809 ,18069 ,16589 ,168913 ,167626 ,193342 ,191703 ,148923 ,145823 ,780178 ,749700 ,16992 ,13175 
