연도,"예산_
일반회계(억원)","예산_
특별회계_기업특별회계(억원)","예산_
특별회계_기타특별회계(억원)","예산_
특별회계_책임운영기관특별회계(억원)","기금_
사업성 기금(억원)","기금_
사회보험성 기금(억원)","기금_
계정성 기금(억원)"
,,,,,,,
,,,,,,,
2014 ,27685 ,224 ,35634 ,212 ,3508 ,312 ,1 
2015 ,15290 ,187 ,31571 ,194 ,4327 ,532 ,0 
2016 ,15845 ,114 ,24335 ,44 ,3738 ,144 ,0 
2017 ,18745 ,133 ,21870 ,131 ,3510 ,58 ,0 
2018 ,16150 ,377 ,15925 ,75 ,3803 ,354 ,0 
2019 ,12936 ,211 ,11737 ,211 ,4056 ,243 ,0 
