연도,기준,사업비(조원),기금운영비(조원),차입금이자상환(조원)
2014,결산,88.9,1.3,13.9
2015,결산,99.4,1.6,13.9
2016,결산,105,1.5,13.5
2017,결산,111.9,1.5,14
2018,결산,118,1.9,14
2019,결산,129.9,1.9,13.2
2020,본예산,144.3,1.7,15.1
2021,본예산,164.4,1.8,16.8
