연도,기준,국가균형발전특별회계(억원),행정중심복합도시건설특별회계(억원),혁신도시건설특별회계(억원),에너지 및 자원사업특별회계(억원),교통시설특별회계(억원)
2015,결산,13407,3751,53,0,164
2016,결산,11448,2965,16,0,40
2017,결산,10088,2599,8,0,9
2018,결산,17099,2718,140,0,29
2019,결산,19299,3472,73,80,100
2020,본예산,14513,3388,187,98,113
2021,본예산,16360,4344,805,110,0
