연도,기준,민간_경상보조(억원),민간_자본보조(억원),지자체_경상보조(억원),지자체_자본보조(억원)
2015,결산,21688,396,250061,5594
2016,결산,23751,424,266201,5105
2017,결산,23460,278,280832,8826
2018,결산,57384,404,313619,9222
2019,결산,72283,328,387980,13089
2020,본예산,72281,1047,425608,12880
2021,본예산,75642,816,464067,19882
