연도,기준,민간_경상보조(억원),민간_자본보조(억원),지자체_경상보조(억원),지자체_자본보조(억원)
2015 ,결산,20914 ,1532 ,2931 ,15120 
2016 ,결산,20432 ,2223 ,3359 ,18751 
2017 ,결산,22025 ,1942 ,4402 ,17977 
2018 ,결산,22470 ,724 ,4177 ,13360 
2019 ,결산,24020 ,748 ,4678 ,17514 
2020 ,본예산,26481 ,1185 ,4336 ,17643 
2021 ,본예산,29284 ,971 ,5112 ,16667 
