연도,기준,합계예산(억원),부문당 예산(억원),프로그램당 예산(억원),단위사업당 예산(억원),세부사업당 예산(억원)
2014 ,결산,61963 ,12393 ,1291 ,362 ,105 
2015 ,결산,67212 ,13442 ,1372 ,393 ,128 
2016 ,결산,69327 ,13865 ,1415 ,403 ,141 
2017 ,결산,63239 ,12648 ,1317 ,390 ,134 
2018 ,결산,72003 ,14401 ,1500 ,477 ,148 
2019 ,본예산,80181 ,16036 ,1670 ,545 ,164 
2020 ,본예산,84816 ,16963 ,1731 ,581 ,171 
