연도,기준,일반회계(억원),특별회계(억원),기금(억원)
2015 ,결산,494618 ,9144 ,20945 
2016 ,결산,528255 ,8666 ,16796 
2017 ,결산,541603 ,48435 ,1883 
2018 ,결산,594345 ,46908 ,2158 
2019 ,결산,657991 ,45086 ,2223 
2020 ,본예산,674442 ,49275 ,2627 
2021 ,본예산,658777 ,50752 ,2547 
