연도,기준,보통교부금(억원),맞춤형 국가장학금 지원(억원),유아교육비 보육료 지원(억원),국립대학 인건비(억원),고등학교 무상교육(억원),국가시책 특별교부금(억원),국립대학 시설확충(억원),대학혁신지원(R&D)(억원),서울대학교 출연지원(억원),이공학학술연구기반구축(R&D)(억원)
2020 ,본예산,538114 ,40018 ,40316 ,16975 ,6594 ,9365 ,7167 ,8031 ,4866 ,3374 
2021 ,본예산,517416 ,39946 ,39168 ,17215 ,9431 ,8931 ,7710 ,6951 ,5124 ,4904 
