연도,기준,사학진흥기금(억원),공공자금관리기금(억원)
2015 ,결산,2553 ,18392 
2016 ,결산,2653 ,14143 
2017 ,결산,1883 ,0 
2018 ,결산,2158 ,0 
2019 ,결산,2223 ,0 
2020 ,본예산,2627 ,0 
2021 ,본예산,2547 ,0 
