연도,기준,민간_경상보조(억원),민간_자본보조(억원),지자체_경상보조(억원),지자체_자본보조(억원)
2015,결산,1748,20,5121,0
2016,결산,1577,54,284,4624
2017,결산,1285,81,38,81
2018,결산,2108,0,221,0
2019,결산,2192,0,231,109
2020,본예산,3473,2,236,0
2021,본예산,5078,44,1307,0
