연도,기준,해양환경보전(억원),해양오염관리(억원)
2015,결산,2103,66
2016,결산,2459,130
2017,결산,2247,297
2018,결산,2429,257
2019,결산,2694,139
2020,본예산,2667,55
2021,본예산,2684,150
