연도,기준,합계예산(억원),부문당 예산(억원),프로그램당 예산(억원),단위사업당 예산(억원),세부사업당 예산(억원)
2015 ,결산,67406 ,11234 ,5617 ,688 ,170 
2016 ,결산,69236 ,11539 ,5770 ,672 ,187 
2017 ,결산,71059 ,11843 ,6460 ,704 ,214 
2018 ,결산,69867 ,11645 ,6352 ,706 ,214 
2019 ,결산,84842 ,14140 ,6060 ,998 ,242 
2020 ,본예산,90129 ,15022 ,6438 ,1127 ,257 
2021 ,본예산,106157 ,17693 ,7583 ,1327 ,291 
