연도,기준,일반철도안전 및 시설개량(억원),도로안전 및 환경개선(억원),도로유지보수(억원),민자철도운영지원(억원),서해선복선전철(억원),도담-영천 복선전철(억원),첨단도로교통체계(억원),안성-구리고속도로건설(억원),일반철도시설유지보수위탁(억원),이천-문경 철도건설(억원)
2020,본예산,10097,7944,6262,5949,7103,5460,2112,2961,3318,3800
2021,본예산,11695,8605,6644,6100,5930,5190,5179,4657,4461,4052
