연도,기준,외교부(억원),통일부(억원),기획재정부(억원),민주평화통일자문회의(억원)
2019 ,결산,24438 ,2931 ,11747 ,300 
2020 ,본예산,27439 ,14242 ,13087 ,325 
2021 ,본예산,28409 ,14749 ,13549 ,329 
