연도,기준,경찰청(억원),법무부(억원),대법원(억원),해양경찰청(억원),행정안전부(억원),기획재정부(억원),소방청(억원),헌법재판소(억원)
2019 ,결산,107039 ,36590 ,18400 ,17322 ,13216 ,7059 ,2215 ,437 
2020 ,본예산,116165 ,38972 ,20107 ,9126 ,14849 ,6614 ,2011 ,527 
2021 ,본예산,119651 ,40582 ,20437 ,17895 ,15257 ,6494 ,2208 ,526 
