연도,기준,일반회계(조원),특별회계(조원),기금(조원),세입 외(조원)
2014,결산,208.6,21.6,230.1,126.2
2015,결산,219.2,22.3,241.6,130.2
2016,결산,245.1,21,266.1,135.6
2017,결산,269.5,21.4,290.9,139.5
2018,결산,296.6,23,294.8,145.1
2019,결산,295.5,23.2,318.7,154
2020,본예산,295.9,24,319.9,161.9
2021,본예산,286.9,24.7,311.6,171
