연도,기준,합계예산(억원),부문당 예산(억원),프로그램당 예산(억원),단위사업당 예산(억원),세부사업당 예산(억원)
2015 ,결산,570923 ,95154 ,8921 ,1674 ,625 
2016 ,결산,608948 ,101491 ,9515 ,1845 ,720 
2017 ,결산,643436 ,107239 ,9749 ,1838 ,703 
2018 ,결산,683844 ,113974 ,10521 ,2035 ,794 
2019 ,결산,753543 ,125591 ,11593 ,2290 ,861 
2020 ,본예산,790129 ,131688 ,12156 ,2366 ,907 
2021 ,본예산,846766 ,141128 ,13027 ,2490 ,949 
