연도,기준,보통교부세(억원),국고채이자상환(억원),부동산교부세(억원),복권사업비(억원),인건비(억원),재난안전관리특별교부세(억원),소방안전교부세(억원),지방채 인수(억원),정보활동(억원),지역현안특별교부세(억원)
2019 ,본예산,467264 ,126919 ,33210 ,28563 ,21593 ,7000 ,721 ,7143 ,6895 ,7226 
2020 ,본예산,445377 ,147704 ,49357 ,32288 ,21878 ,21000 ,10522 ,9039 ,7460 ,6887 
