연도,기준,민간_경상보조(억원),민간_자본보조(억원),지자체_경상보조(억원),지자체_자본보조(억원)
2015,결산,23333,751,5100,4046
2016,결산,24698,537,3564,4312
2017,결산,23133,564,3298,3458
2018,결산,26118,512,3099,3397
2019,결산,29216,951,3005,5443
2020,본예산,34848,1353,2138,4909
2021,본예산,43068,2039,5096,5237
