연도,기준,민간_경상보조(억원),민간_자본보조(억원),지자체_자본보조(억원)
2015 ,결산,1499 ,0 ,35 
2016 ,결산,963 ,0 ,15 
2017 ,결산,971 ,0 ,57 
2018 ,결산,974 ,0 ,106 
2019 ,결산,992 ,44 ,50 
2020 ,본예산,1126 ,0 ,0 
2021 ,본예산,373 ,44 ,0 
